,the_geom,name,tel,url,adress1,address2,city,zip,focus,summary
190,,New York Earth Room,,,,,,,Contemporary art,Permanent exhibit of earth covered room
191,"(-73.85168679568561, 40.74714778785817)",New York Hall of Science,(718) 699-0005,http://www.nysci.org/,47-01 111th Street,,Queens,11368.0,,"Topics include biology, chemistry and physics"
192,"(-73.97425753844574, 40.77927324139346)",New York Historical Society,(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street,,New York,10024.0,,
193,,New York Public Library for the Performing Arts,,,,,,,Performing arts,"Exhibitions about the performing arts, located at lincoln center for the performing arts"
194,,New York Public Library Main Branch,,,,,,,"Books, drawings, illustrations, prints","Exhibitions about art, history, culture, photography from its collections"
195,,New York School of Interior Design Gallery,,,,,,,"Design, decorative arts, architecture","Website, free gallery with exhibits about interior design"
196,"(-73.9791241123914, 40.752422920262084)",New York Tolerance Center,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,50 E 42nd St,,New York,10017.0,,
197,"(-73.9900259713183, 40.69052369812635)",New York Transit Museum,(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street,,Brooklyn,0.0,Transportation,"Subways, trolleys, and buses"
198,,New York Yankees Museum,,,,,,,Amusements,"Located in yankee stadium, history and memorabilia of the new york yankees"
199,,New-York Historical Society,,,,,,,American and ny history,History of new york and the united states
200,,Newhouse Center for Contemporary Art,,,,,,,Contemporary art,"Part of snug harbor cultural center, contemporary art"
201,"(-73.96902249723335, 40.802913999614184)",Nicholas Roerich Museum,(212) 864-7752,http://www.roerich.org/,319 West 107 Street,,New York,10025.0,Asian and asian-american,Works by nicholas roerich
202,"(-74.10177203630597, 40.64431194442387)",Noble Maritime Collection,(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace,,Staten Island,10301.0,Transportation,"Part of snug harbor cultural center, houseboat and artist studio"
203,,Noguchi Museum,,,,,,,Sculpture,Works by sculptor isamu noguchi
204,"(-73.98461861468387, 40.672993473207185)",Old Stone House,(718) 768-3195,http://www.theoldstonehouse.org/,326 5th Avenue,,Brooklyn,11215.0,,"Reconstructed 1699 dutch stone farmhouse with revolutionary war ties, focuses on evolving histories of brooklyn, new york and the united states"
205,,Onassis Cultural Center,,,,,,,European,"Website, cultural and artistic activities concerning ancient, byzantine and modern hellenic civilization, located in the olympic tower"
206,"(-73.94621241792795, 40.74583946863492)",P.S. 1 Contemporary Art Center,(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave.,,Queens,11101.0,,
207,"(-73.9776016138105, 40.76057363859203)",Paley Center For Media (formerly Museum Of Television & Radio),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street,,New York,10019.0,"Television, radio, new media","Cultural, creative and social significance of television, radio, the internet, and emerging media platforms"
208,,Park Avenue Armory,,,,,,,Contemporary art,Presents art exhibitions
209,,Parsons The New School for Design Gallery,,,,,,,"Design, decorative arts, architecture",Exhibits of art and design in the sheila c. johnson design center
210,,Peter Fingesten Gallery,,,,,,,Contemporary art,"Website, operated by pace university at 1 pace plaza"
211,"(-73.89314845618621, 40.76460725545623)",Queens Art Museum - Bulova Corporate Center,(516) 624-1910,http://www.bdg.net/properties/1/,75-20 Astoria Blvd.,,Jackson Heights,11386.0,,
212,,Queens College Art Center,,,,,,,Neighborhood art center,"Website, part of queens college"
213,"(-73.72573660861673, 40.74556960429117)",Queens County Farm Museum,(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway,,Queens,11004.0,,Working farm dating back to 1697
214,"(-73.8467627581779, 40.7458428647494)",Queens Museum of Art,(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,Flushing Meadows Corona Park,Queens,11368.0,Contemporary art,"Focus on social practice, artist in residence programs, and education. includes a collection of tiffany glass and the panorama of the city of new york."
215,,Ripley's Believe It or Not!,,,,,,,Amusements,Oddities and curiosities
216,"(-73.97257491067647, 40.78285983221266)",Rose Center for Earth and Space (Hayden Planetarium),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street,,New York,10024.0,,
217,,Rosè Mansion,,,,,,,Art,The history of rosè wine making and culture
218,,Rose Museum,,,,,,,Performing arts,Chronicles the history carnegie hall from the collections of its archives
219,"(-73.9799105035754, 40.765012313344094)",Rose Museum at Carnegie Hall,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,154 West 57th Street,,New York,0.0,,
220,"(-73.99779152534921, 40.74002038014153)",Rubin Museum of Art,(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street,,New York,10011.0,Asian and asian-american,Art of the himalayas and surrounding regions
221,"(-74.21650281989129, 40.5409783547753)",Sandy Ground Historical Society,(718) 317-5796,http://statenislandusa.com/pages/sandy_ground.html,1538 Woodrow Road,,Staten Island,0.0,African and african-american,"Operated by the sandy ground historical society, community and staten island's african-american culture and history"
222,"(-73.98008843538526, 40.74944689567966)",Scandinavia House: The Nordic Center in America,(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave.,,New York,10016.0,European,"Art, design, and historical exhibitions of the nordic countries"
223,"(-73.94099076053165, 40.814612726277666)",Schomburg Center for Research in Black Culture,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard,,New York,10037.0,African and african-american,"Branch of the new york public library, exhibits of african american history, culture"
224,"(-73.98224232560065, 40.73875919099525)",School of Visual Arts Museum,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,209 E. 23rd St.,,New York,10010.0,,
225,,SculptureCenter,,,,,,,Sculpture,Dedicated to experimental and innovative developments in contemporary sculpture
226,"(-74.19758929841912, 40.51521434364335)",Seguine Mansion,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue,,Staten Island,10307.0,,Mid-19th-century mansion
227,"(-74.01756806833069, 40.70565752977975)",Skyscraper Museum,(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place,,New York,10280.0,"Design, decorative arts, architecture",Currently the only museum in the world dedicated to skyscrapers
228,,Socrates Sculpture Park,,,,,,,Sculpture,Outdoor museum and public park where artists can create and exhibit sculptures and multi-media installations
229,"(-73.95891102040586, 40.78300947618501)",Solomon R. Guggenheim Museum,(212) 423-3500,http://www.guggenheim.org/,1071 Fifth Avenue,,New York,10128.0,,
230,"(-73.9735078210536, 40.76147030101873)",Sony Wonder Technology Lab,(212) 833-8100,http://wondertechlab.sony.com/,550 Madison Ave,Sony Plaza,New York,10022.0,,
231,"(-74.00372094057576, 40.70660335756895)",South Street Seaport Museum,(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street,,New York,10038.0,Transportation,"Includes exhibition galleries, a working 19th-century print shop, an archeology museum and several historic museum ships including the four-masted peking"
232,"(-74.10189210518134, 40.64270888224811)",Staten Island Children's Museum,(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr.,,Staten Island,10301.0,,Part of snug harbor cultural center
233,"(-74.0776650626922, 40.64436917860095)",Staten Island Museum / Staten Island Institute of Arts & Sciences,(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl.,,Staten Island,10301.0,Encyclopedic,"Natural history, art, history, science, part of snug harbor cultural center"
234,,Statue of Liberty,,,,,,,American and ny history,"Accessible by boat from battery park in manhattan and liberty state park in jersey city, new jersey"
235,"(-73.94772615470191, 40.808245476168075)",Studio Museum in Harlem,(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street,,New York,10027.0,African and african-american,"Art of african-americans, specializing in 19th- and 20th-century work as well as exhibits of caribbean and african art"
236,,Swiss Institute Contemporary Art New York,,,,,,,Contemporary art,Contemporary art
237,"(-73.98967904824913, 40.718687698398995)",Tenement Museum,(212) 431-0233,http://www.tenement.org/,108 Orchard Street,,New York,10002.0,,
238,,Terrain Gallery,,,,,,,Contemporary art,"Exhibits of contemporary paintings, prints, drawings, and photographs"
239,,The Cloisters,,,,,,,European,"Art and architecture of the european middle ages, branch of the metropolitan museum of art"
240,"(-73.98501448982452, 40.719616728018636)","The Freakatorium, El Museo Loco",(212) 375-0475,http://www.freakatorium.com/,57 Clinton St.,,New York,10002.0,,
241,"(-73.9380587417615, 40.80527638435791)",The Jazz Museum in Harlem,(212) 348-8300,http://www.jazzmuseuminharlem.org/,104 E. 126th Street,Suite 2D,New York,10035.0,,
242,"(-73.94196177006319, 40.66891157732498)",The Jewish Children's Museum,(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy,,Brooklyn,11213.0,,
243,,The Living Museum,,,,,,,Contemporary art,"Part of creedmoor psychiatric center,  art dedicated to, and created by individuals with a mental illness"
244,,The Morgan Library & Museum,,,,,,,"Books, drawings, illustrations, prints","Includes books and printed materials, prints, and drawings of european artists, material from ancient egypt and medieval liturgical objects, ancient near eastern cylinder seals, music manuscripts"
245,"(-73.99392966775832, 40.74700837582729)",The Museum at FIT,(212) 217-5800,http://www.fitnyc.edu/306.asp,7th Avenue at West 27th Street,,New York,10001.0,,
246,,The Shed,,,,,,,Contemporary art,"Hosts activities in a wide range of cultural areas including art, performance, film, design, food, fashion, and new combinations of cultural content"
247,"(-73.98904085250442, 40.738642014511264)",Theodore Roosevelt Birthplace,(212) 260-1616,http://www.nps.gov/thrb/index.htm,28 East 20th Street,,New York,10003.0,,Recreated 1865 period brownstone home where theodore roosevelt lived as a child
248,,Tibet House,,,,,,,Asian and asian-american,Classical and contemporary tibetan art
249,,Toy Museum of NY,,,,,,,Amusements,"Traveling collection with no permanent facility, includes children's theatre performance, classic dolls, toy soldiers, trains and trolleys, board games, electronic toys"
250,,Trinity Church,,,,,,,,"History of the church, changing art, religious and cultural exhibits"
251,,Ukrainian Institute of America,,,,,,,European,Features exhibits of notable ukrainian artists living in the states and other events related to ukrainian heritage
252,"(-73.98975703078781, 40.7276767876997)",Ukrainian Museum,(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street,,New York,10003.0,European,Ukrainian heritage in america including folk art and fine art
253,,United Nations Headquarters,,,,,,,,"Includes exhibits on such topics as peacekeeping operations, decolonization and disarmament, and the united nations art collection"
254,"(-73.87942471849595, 40.877379824668694)",Valentine-Varian House,(718) 881-8900,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,3266 Bainbridge Ave.,,Bronx,10467.0,,"Houses the museum of bronx history, operated by the bronx county historical society"
255,"(-73.89482257025313, 40.89111116729143)",Van Cortlandt House Museum,(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,Broadway at West 246th Street,Bronx,10471.0,,18th-century period manor house
256,,Vander Ende-Onderdonk House,,,,,,,,"Oldest dutch colonial stone house in new york city, operated by the greater ridgewood historical society"
257,,Voelker Orth Museum,,,,,,,Nature,"German immigrant family’s 1890s home and garden, exhibits of cultural and horticultural heritage of flushing, queens and adjacent communities"
258,,Waterfront Museum,,,,,,,Transportation,"Website, historic floating barge museum in red hook"
259,"(-73.91165376574718, 40.89788471476036)",Wave Hill,(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue,,Bronx,10471.0,Nature,Botanical garden with art gallery and interpretive visitor's center
260,,Weeksville Heritage Center,,,,,,,African and african-american,"History of the 19th-century african american community of weeksville, brooklyn - one of america’s first free black communities"
261,,White Columns,,,,,,,Contemporary art,Alternative art gallery
262,"(-73.96383434736195, 40.773407292902185)",Whitney Museum of American Art,1 (800) WHITNEY,http://www.whitney.org/,945 Madison Ave.,,New York,10021.0,Modern art,20th-century american art and contemporary american art by living artists
263,,Williamsburg Art & Historical Center,,,,,,,Neighborhood art center,"Art exhibitions, performances and cultural events"
264,"(-73.92079629906307, 40.644340681393366)",Wyckoff Farmhouse Museum,(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave,,Brooklyn,11203.0,,Dutch saltbox frame house dating back to 1652
265,"(-73.99381737049632, 40.738045683847)",Yeshiva University Museum,(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St.,,New York,10011.0,European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
266,"(-73.99379427245329, 40.73795994708654)",YIVO Institute for Jewish Research,(212) 246-6860,http://www.yivoinstitute.org/,15 W. 16th St.,,New York,10011.0,,
